Threshold,Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.33999999999999986,0.8982300884955752,0.8351648351648352,0.9047619047619048,0.8943661971830986,0.8685714285714285,76,127,15,8
0.34999999999999987,0.9070796460176991,0.8539325842696629,0.9047619047619048,0.9084507042253521,0.8786127167630058,76,129,13,8
0.3599999999999999,0.9070796460176991,0.8539325842696629,0.9047619047619048,0.9084507042253521,0.8786127167630058,76,129,13,8
0.3699999999999999,0.911504424778761,0.8636363636363636,0.9047619047619048,0.9154929577464789,0.8837209302325582,76,130,12,8
0.3799999999999999,0.911504424778761,0.872093023255814,0.8928571428571429,0.9225352112676056,0.8823529411764706,75,131,11,9
0.3899999999999999,0.9203539823008849,0.8928571428571429,0.8928571428571429,0.9366197183098591,0.8928571428571429,75,133,9,9
0.3999999999999998,0.9203539823008849,0.8928571428571429,0.8928571428571429,0.9366197183098591,0.8928571428571429,75,133,9,9
0.4099999999999998,0.915929203539823,0.891566265060241,0.8809523809523809,0.9366197183098591,0.8862275449101796,74,133,9,10
0.4199999999999998,0.915929203539823,0.891566265060241,0.8809523809523809,0.9366197183098591,0.8862275449101796,74,133,9,10
0.4299999999999998,0.9203539823008849,0.9024390243902439,0.8809523809523809,0.9436619718309859,0.891566265060241,74,134,8,10
0.43999999999999984,0.9203539823008849,0.9024390243902439,0.8809523809523809,0.9436619718309859,0.891566265060241,74,134,8,10
0.44999999999999984,0.9203539823008849,0.9024390243902439,0.8809523809523809,0.9436619718309859,0.891566265060241,74,134,8,10
0.45999999999999985,0.915929203539823,0.9012345679012346,0.8690476190476191,0.9436619718309859,0.8848484848484849,73,134,8,11
0.46999999999999986,0.915929203539823,0.9012345679012346,0.8690476190476191,0.9436619718309859,0.8848484848484849,73,134,8,11
0.47999999999999976,0.915929203539823,0.9012345679012346,0.8690476190476191,0.9436619718309859,0.8848484848484849,73,134,8,11
0.48999999999999977,0.915929203539823,0.9012345679012346,0.8690476190476191,0.9436619718309859,0.8848484848484849,73,134,8,11
0.4999999999999998,0.915929203539823,0.9113924050632911,0.8571428571428571,0.9507042253521126,0.8834355828220859,72,135,7,12
0.5099999999999998,0.9203539823008849,0.9230769230769231,0.8571428571428571,0.9577464788732394,0.8888888888888888,72,136,6,12
0.5199999999999998,0.915929203539823,0.922077922077922,0.8452380952380952,0.9577464788732394,0.8819875776397516,71,136,6,13
0.5299999999999998,0.915929203539823,0.922077922077922,0.8452380952380952,0.9577464788732394,0.8819875776397516,71,136,6,13
0.5399999999999998,0.915929203539823,0.922077922077922,0.8452380952380952,0.9577464788732394,0.8819875776397516,71,136,6,13
0.5499999999999998,0.915929203539823,0.922077922077922,0.8452380952380952,0.9577464788732394,0.8819875776397516,71,136,6,13
0.5599999999999997,0.915929203539823,0.922077922077922,0.8452380952380952,0.9577464788732394,0.8819875776397516,71,136,6,13
0.5699999999999997,0.9203539823008849,0.9342105263157895,0.8452380952380952,0.9647887323943662,0.8875,71,137,5,13
0.5799999999999997,0.915929203539823,0.9333333333333333,0.8333333333333334,0.9647887323943662,0.8805031446540881,70,137,5,14
0.5899999999999997,0.915929203539823,0.9333333333333333,0.8333333333333334,0.9647887323943662,0.8805031446540881,70,137,5,14
0.5999999999999998,0.915929203539823,0.9333333333333333,0.8333333333333334,0.9647887323943662,0.8805031446540881,70,137,5,14
0.6099999999999998,0.915929203539823,0.9333333333333333,0.8333333333333334,0.9647887323943662,0.8805031446540881,70,137,5,14
0.6199999999999998,0.915929203539823,0.9333333333333333,0.8333333333333334,0.9647887323943662,0.8805031446540881,70,137,5,14
0.6299999999999997,0.911504424778761,0.9444444444444444,0.8095238095238095,0.971830985915493,0.8717948717948718,68,138,4,16
0.6399999999999997,0.911504424778761,0.9444444444444444,0.8095238095238095,0.971830985915493,0.8717948717948718,68,138,4,16
0.6499999999999997,0.911504424778761,0.9444444444444444,0.8095238095238095,0.971830985915493,0.8717948717948718,68,138,4,16
0.6599999999999997,0.911504424778761,0.9571428571428572,0.7976190476190477,0.9788732394366197,0.8701298701298701,67,139,3,17
